sentence,loss
[ 70 142 124],0.00043712626660725876
[   2 1478  620  239],0.0008204925617633861
[153  70 124],0.000979323616092288
[54 46 17],0.0009830902216897133
"[  27   11  674  152   76    9  112  746  164   15  197  622   33    5
   64   37  362   44 1570   23   12   13]",0.0010303980661513466
[1500   17   10   17  133],0.001079017151889034
[  27   35   69  187    3   69 1325    3   10    2   38  215   40  552],0.0012583186358731235
[  56   32 1940    3   22  219],0.0015476351469113413
[ 56  12 122],0.0015903800775845627
[  27  141   34 1205    3  101    3   18   70   17],0.001804274261976543
