sentence,loss
[17],0.011569696649881122
[ 46   5  49  14 697   2  13],3.3746649680514986
[126  15  22 277],3.1727338822283078
[ 979  906  179    2 1554],2.961641824758626
[  2  80 201   9   2 245],2.9584745922294315
[   5   16    5   75  546   32   39   12 1716],2.8857031522633356
[  43  116 1139   18  118    5   15    5   12   55    5   47],2.731949942461956
[ 15 142   5   3 142  16   5  19   5  10   2 142   5   9  12 150],2.702934688630974
[  2 533 962],2.617039206288792
[ 14  22 262   3  61  16  17  72  20   2  25  16  26   8   8   3],2.6097553652933914
